Author;Year;ControlGroup_ID;wait;Attention;TAU;Study_ID;Intervention_Type;Sex_(Female);Age_(mean);Outcome_ID;g;v;Thinking;DSH;Spesific;Follow_up;Duration (weeks);Total Attrition (%)
Mousavi;2014;3;0;0;1;35;0;64;NA;67;0.227644606946984;0.0292;0;1;SA;0;26;NA
Mousavi;2014;3;0;0;1;35;0;64;NA;68;0.467422303473492;0.0304;0;1;SA;0;26;NA
Bush;2017;3;0;0;1;36;1;32;47;69;0.01489156626506;0.0358;1;0;SI;0;12;10
Niederkroenthaler;2020;2;0;1;0;37;1;73;34;70;0.159309352517986;0.0058;1;0;SI;0;0.14;0
Niederkroenthaler;2020;2;0;1;0;37;1;73;34;70;0.179223021582734;0.0058;1;0;SI;1;1;0
O’Conner;2017;3;0;0;1;38;1;63;36;71;0.031952918097106;0.012069;0;1;SH;0;26;2
O’Conner;2017;3;0;0;1;38;1;63;36;72;0.066901422265817;0.0078;0;1;SH;0;26;2
O’Conner;2017;3;0;0;1;38;1;63;36;73;0.089867582148112;0.0078;0;1;SH;0;26;2
Wei;2012;1;1;0;0;39;0;76;33;74;-0.121301960784314;0.042425;0;1;SH;0;12;25.8
Wei;2012;1;1;0;0;39;0;76;33;74;0.04024385026738;0.117466;1;0;SI;1;52;60
Kasckow;2016;3;0;0;1;40;1;6;51;75;0.068235294117647;0.1251;1;0;SI;0;13;41
Moritz;2012;1;1;0;0;41;1;79;39;76;0.288703427719821;0.0239;1;0;SI;0;8;19
Marasinghe;2012;1;1;0;0;42;0;100;32.5;77;1.10330708661417;0.1366;1;0;SI;0;26;NA
Marasinghe;2012;1;1;0;0;42;2;0;29.5;78;0.644214173228346;0.124;1;0;SI;0;26;NA
Cedereke;2001;3;0;0;1;43;2;36.5;41;79;0.378321060382916;0.0237;1;0;SI;0;4;31.5
Cedereke;2001;3;0;0;1;43;2;36.5;41;79;0.255366715758468;0.0235;1;0;SI;1;52;31.5
Cedereke;2001;3;0;0;1;43;2;36.5;41;80;0.014535493372607;0.050603;0;1;SA;1;52;31.5
